rank,config_name,d_model,num_layers,nhead,d_ff,round1_val_per,round2_val_per,status,duration_min,final_step
1,transformer_256d_4L_8H_512ff,256,4,8,512,0.6102817493692179,0.575221,ok,1.5761707166666667,5000
2,transformer_512d_4L_8H_2048ff,512,4,8,2048,0.6291000841042893,0.578953,ok,2.1210266166666667,5000
3,transformer_512d_6L_4H_1024ff,512,6,4,1024,0.6103868797308662,0.579163,ok,1.9194695833333335,5000
4,transformer_512d_4L_4H_2048ff,512,4,4,2048,0.6505992430613962,0.580688,ok,4.55816785,5000
5,transformer_256d_4L_4H_1024ff,256,4,4,1024,0.611490748528175,0.581897,cached,,5000
6,transformer_512d_4L_4H_1024ff,512,4,4,1024,0.6154331370899916,0.587889,cached,,5000
7,transformer_256d_6L_4H_512ff,256,6,4,512,0.6492851135407905,0.589519,ok,1.0568141,5000
8,transformer_512d_6L_8H_2048ff,512,6,8,2048,0.6436606391925989,inf,failed,3.0481760166666665,4000
