rank,config_name,d_model,num_layers,nhead,d_ff,val_per,status,duration_min,final_step
1,transformer_256d_4L_8H_512ff,256,4,8,512,0.367063,ok,20.13363275,100000
2,transformer_512d_4L_8H_2048ff,512,4,8,2048,0.382622,ok,46.12325725,100000
